Mesodinium Species:,Prey species:,Attack rate: (ul /meso*day),Ingestion rate: (prey /meso*day),Media: ,Light conditions: (Âµmol m^-2 s^-1),Prey concentration: cells/mL,Meso concentration: cells/mL,Temperature:,Refrence:,Link etc.,Notes:
MR,TA,,7.64,15 psu f/2 or f/4 medium,54,4500,300,15,Peltomaa E & Johnson MD (2017),"Peltomaa E, Johnson MD (2017) Mesodinium rubrum exhibits genus-level but not species-level cryptophyte prey selection. Aquat Microb Ecol 78:147-159. https://doi.org/10.3354/ame01809",Growth rate for meso and prey prodived but need to calculate/extract attack rates from figures 
MC,CM,,4.0,f/2-Si seawater,10,5000,500,18,"Moeller et al, 2021", https://doi.org/10.1111/jpy.13131,
MC,CM,,3.0,f/2-Si seawater,50,5000,500,18,"Moeller et al, 2021",,
MC,CM,,9.5,f/2-Si seawater,100,5000,500,18,"Moeller et al, 2021",,
MC,HP,,3.3,f/2-Si seawater,10,5000,500,18,"Moeller et al, 2021",,
MC,HP,,5.0,f/2-Si seawater,50,5000,500,18,"Moeller et al, 2021",,
MC,HP,,7.2,f/2-Si seawater,100,5000,500,18,"Moeller et al, 2021",,
MC,RS,,7.8,f/2-Si seawater,10,5000,500,18,"Moeller et al, 2021",,
MC,RS,,10.6,f/2-Si seawater,50,5000,500,18,"Moeller et al, 2021",,
MC,RS,,6.1,f/2-Si seawater,100,5000,500,18,"Moeller et al, 2021",,
MC,SM,,5.9,f/2-Si seawater,10,5000,500,18,"Moeller et al, 2021",,
MC,SM,,13.9,f/2-Si seawater,50,5000,500,18,"Moeller et al, 2021",,
MC,SM,,11.4,f/2-Si seawater,100,5000,500,18,"Moeller et al, 2021",,
MR,Teleaulux sp. ,,0.5,f/2 seawater,100,402.8,250,15,"Smith & Hansen, 2007",https://www.int-res.com/articles/meps2007/338/m338p061.pdf,ingestion rate provided but need to extract attack rate. 
MR,Teleaulux sp. ,,1.1,f/2 seawater,100,1205.3,250,15,"Smith & Hansen, 2007",,
MR,Teleaulux sp. ,,1.3,f/2 seawater,100,1308.2,250,15,"Smith & Hansen, 2007",,
MR,Teleaulux sp. ,,5.0,f/2 seawater,100,13641.1,250,15,"Smith & Hansen, 2007",,
MR,Teleaulux sp. ,,0.9,f/2 seawater,100,1611.7,250,15,"Smith & Hansen, 2007",,
MR,Teleaulux sp. ,,1.6,f/2 seawater,100,1750.4,250,15,"Smith & Hansen, 2007",,
MR,Teleaulux sp. ,,2.0,f/2 seawater,100,1866.8,250,15,"Smith & Hansen, 2007",,
MR,Teleaulux sp. ,,1.9,f/2 seawater,100,2975.3,250,15,"Smith & Hansen, 2007",,
MR,Teleaulux sp. ,,4.1,f/2 seawater,100,4186.7,250,15,"Smith & Hansen, 2007",,
MR,Teleaulux sp. ,,3.2,f/2 seawater,100,7876.4,250,15,"Smith & Hansen, 2007",,
MR,Teleaulux sp. ,,4.2,f/2 seawater,100,9097.9,250,15,"Smith & Hansen, 2007",,
MR,Teleaulux sp. ,,0.6,f/2 seawater,20,944.4,250,15,"Smith & Hansen, 2007",,
MR,Teleaulux sp. ,,0.3,f/2 seawater,20,1411.5,250,15,"Smith & Hansen, 2007",,
MR,Teleaulux sp. ,,1.1,f/2 seawater,20,2138.4,250,15,"Smith & Hansen, 2007",,
MR,Teleaulux sp. ,,1.9,f/2 seawater,20,2485.0,250,15,"Smith & Hansen, 2007",,
MR,Teleaulux sp. ,,1.5,f/2 seawater,20,2542.7,250,15,"Smith & Hansen, 2007",,
MR,Teleaulux sp. ,,1.4,f/2 seawater,20,2958.1,250,15,"Smith & Hansen, 2007",,
MR,Teleaulux sp. ,,3.3,f/2 seawater,20,5138.3,250,15,"Smith & Hansen, 2007",,
MR,Teleaulux sp. ,,2.3,f/2 seawater,20,6298.5,250,15,"Smith & Hansen, 2007",,
MR,Teleaulux sp. ,,2.9,f/2 seawater,20,7843.9,250,15,"Smith & Hansen, 2007",,
MR,Teleaulux sp. ,,3.0,f/2 seawater,20,10986.3,250,15,"Smith & Hansen, 2007",,
MC,SM,,2.4,f/2 seawater,4,1554.2,,18,Moeller & Johnson (2017),https://onlinelibrary.wiley.com/doi/10.1111/jeu.12446,
MC,SM,,8.5,f/2 seawater,4,6070.9,,18,Moeller & Johnson (2017),,
MC,SM,,7.3,f/2 seawater,4,6050.6,,18,Moeller & Johnson (2017),,
MC,SM,,11.0,f/2 seawater,4,4845.9,,18,Moeller & Johnson (2017),,
MC,SM,,10.2,f/2 seawater,4,10588.0,,18,Moeller & Johnson (2017),,
MC,SM,,13.0,f/2 seawater,4,12381.9,,18,Moeller & Johnson (2017),,
MC,CM,,7.2,f/2 seawater,4,8959.6,,18,Moeller & Johnson (2017),,
MC,CM,,13.1,f/2 seawater,4,10253.2,,18,Moeller & Johnson (2017),,
MC,CM,,6.0,f/2 seawater,4,10494.9,,18,Moeller & Johnson (2017),,
MC,CM,,27.9,f/2 seawater,4,20692.6,,18,Moeller & Johnson (2017),,
MC,CM,,28.8,f/2 seawater,4,21089.5,,18,Moeller & Johnson (2017),,
MC,CM,,12.2,f/2 seawater,4,23099.2,,18,Moeller & Johnson (2017),,
MC,CM,,27.3,f/2 seawater,4,62578.2,,18,Moeller & Johnson (2017),,
MC,CM,,15.5,f/2 seawater,4,63031.6,,18,Moeller & Johnson (2017),,
MC,TA,,5.9,f/2 seawater,4,4869.6,,18,Moeller & Johnson (2017),,
MC,TA,,8.4,f/2 seawater,4,5299.5,,18,Moeller & Johnson (2017),,
MC,TA,,10.3,f/2 seawater,4,13872.5,,18,Moeller & Johnson (2017),,
MC,TA,,11.6,f/2 seawater,4,29408.6,,18,Moeller & Johnson (2017),,
MC,TA,,5.1,f/2 seawater,4,34450.8,,18,Moeller & Johnson (2017),,
MC,TA,,18.1,f/2 seawater,4,31428.0,,18,Moeller & Johnson (2017),,
MR,TA,,0.4,f/2 seawater,25,50,1500,15,Yih et al 2004, https://www.int-res.com/articles/ame2004/36/a036p165.pdf  ,
MR,TA,,0.4,f/2 seawater,25,47,1500,15,Yih et al 2004,,
MR,TA,,3.5,f/2 seawater,25,613,1500,15,Yih et al 2004,,
MR,TA,,3.4,f/2 seawater,25,658,1500,15,Yih et al 2004,,
MR,TA,,22.7,f/2 seawater,25,5240,1500,15,Yih et al 2004,,
MR,TA,,26.1,f/2 seawater,25,5213.0,1500,15,Yih et al 2004,,
MR,TA,,47.8,f/2 seawater,25,11247.0,1500,15,Yih et al 2004,,
MR,TA,,42.0,f/2 seawater,25,11578.0,1500,15,Yih et al 2004,,
MR,HP,,0.755745296,f/2-si filtered seawater,20.0,1889.810726,,18,Moeller et al 2024,https://onlinelibrary.wiley.com/doi/full/10.1111/jeu.13066,
MR,HP,,1.186339741,f/2-si filtered seawater,20.0,1894.72202,,18,Moeller et al 2024,,
MR,HP,,1.627757147,f/2-si filtered seawater,20.0,3155.258814,,18,Moeller et al 2024,,
MR,HP,,1.123654239,f/2-si filtered seawater,20.0,4370.15199,,18,Moeller et al 2024,,
MR,HP,,4.128634779,f/2-si filtered seawater,20.0,5793.99778,,18,Moeller et al 2024,,
MR,HP,,4.820329563,f/2-si filtered seawater,20.0,5762.0868,,18,Moeller et al 2024,,
MR,HP,,4.127660021,f/2-si filtered seawater,20.0,7286.565521,,18,Moeller et al 2024,,
MR,HP,,6.085065993,f/2-si filtered seawater,20.0,9691.347896,,18,Moeller et al 2024,,
MR,HP,,6.268320897,f/2-si filtered seawater,20.0,10015.94532,,18,Moeller et al 2024,3.661104539,
MR,HP,,7.205395643,f/2-si filtered seawater,20.0,14496.50762,,18,Moeller et al 2024,,
MR,HP,,7.839858406,f/2-si filtered seawater,20.0,15473.13186,,18,Moeller et al 2024,0.755745296,
,,,,,,,,,,1.186339741,
,,,,,,,,,,1.627757147,
,,,,,,,,,,1.123654239,
,,,,,,,,,,4.128634779,
,,,,,,,,,,4.820329563,
,,,,,,,,,,4.127660021,
,,,,,,,,,,6.085065993,
,,,,,,,,,,6.268320897,
,,,,,,,,,,7.205395643,
,,,,,,,,,,7.839858406,